code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
002151,北斗星通,通信设备,16249323626.0,13253568540.0,扩展500只,2025-09-26 11:54:53
000536,华映科技,光学光电子,13110995486.0,13097011126.0,扩展500只,2025-09-26 11:54:53
301039,中集车辆,汽车整车,16885861024.0,13086371775.0,扩展500只,2025-09-26 11:54:53
301316,慧博云通,软件开发,21731160000.0,13061637596.0,扩展500只,2025-09-26 11:54:53
300010,豆神教育,教育,16181577120.0,13023894117.0,扩展500只,2025-09-26 11:54:53
688409,富创精密,半导体,22384007360.0,12954308824.0,扩展500只,2025-09-26 11:54:53
002345,潮宏基,珠宝首饰,13256609588.0,12939970008.0,扩展500只,2025-09-26 11:54:53
002237,恒邦股份,贵金属,16314230044.0,12937729420.0,扩展500只,2025-09-26 11:54:53
001914,招商积余,房地产服务,12925618471.0,12925564835.0,扩展500只,2025-09-26 11:54:53
300182,捷成股份,文化传媒,15210444359.0,12898330745.0,扩展500只,2025-09-26 11:54:53
000567,海德股份,多元金融,12665757164.0,12635366075.0,扩展500只,2025-09-26 11:54:53
002913,奥士康,电子元件,13252974647.0,12598372866.0,扩展500只,2025-09-26 11:54:53
601222,林洋能源,仪器仪表,12587633543.0,12587633543.0,扩展500只,2025-09-26 11:54:53
000758,中色股份,有色金属,12580291990.0,12488878340.0,扩展500只,2025-09-26 11:54:53
002928,华夏航空,航空机场,12462855113.0,12462792956.0,扩展500只,2025-09-26 11:54:53
300131,英唐智控,消费电子,13449980897.0,12350870065.0,扩展500只,2025-09-26 11:54:53
300294,博雅生物,生物制品,12349051594.0,12349051594.0,扩展500只,2025-09-26 11:54:53
600267,海正药业,化学制药,12348136419.0,12341346144.0,扩展500只,2025-09-26 11:54:53
301171,易点天下,互联网服务,15487295402.0,12254576142.0,扩展500只,2025-09-26 11:54:53
603297,永新光学,光学光电子,12261833451.0,12238887423.0,扩展500只,2025-09-26 11:54:53
000547,航天发展,通信设备,12196312892.0,12119115810.0,扩展500只,2025-09-26 11:54:53
002036,联创电子,光学光电子,12136769249.0,12113881017.0,扩展500只,2025-09-26 11:54:53
000795,英洛华,小金属,12051062015.0,12051062015.0,扩展500只,2025-09-26 11:54:53
600797,浙大网新,互联网服务,11909030628.0,11909030628.0,扩展500只,2025-09-26 11:54:53
300328,宜安科技,小金属,11854573212.0,11784916668.0,扩展500只,2025-09-26 11:54:53
002815,崇达技术,电子元件,18436667233.0,11765930092.0,扩展500只,2025-09-26 11:54:53
002204,大连重工,工程机械,11762043495.0,11762043495.0,扩展500只,2025-09-26 11:54:53
002019,亿帆医药,化学制药,16895658281.0,11688074971.0,扩展500只,2025-09-26 11:54:53
002006,精工科技,专用设备,11586195778.0,11586195778.0,扩展500只,2025-09-26 11:54:53
600409,三友化工,化学原料,11457139436.0,11457139436.0,扩展500只,2025-09-26 11:54:53
603690,至纯科技,专用设备,11459465696.0,11439142148.0,扩展500只,2025-09-26 11:54:53
002488,金固股份,汽车零部件,12373307578.0,11436644108.0,扩展500只,2025-09-26 11:54:53
002626,金达威,食品饮料,11430177609.0,11428444159.0,扩展500只,2025-09-26 11:54:53
688690,纳微科技,化学制药,11318927863.0,11318927863.0,扩展500只,2025-09-26 11:54:53
300613,富瀚微,半导体,11980758340.0,11300303350.0,扩展500只,2025-09-26 11:54:53
600821,金开新能,电力行业,11264565875.0,11264565875.0,扩展500只,2025-09-26 11:54:53
002439,启明星辰,软件开发,18764589175.0,11235562079.0,扩展500只,2025-09-26 11:54:53
300382,斯莱克,专用设备,10990379898.0,10989332863.0,扩展500只,2025-09-26 11:54:53
300693,盛弘股份,电源设备,12477425379.0,10724547167.0,扩展500只,2025-09-26 11:54:53
300348,长亮科技,软件开发,12250455558.0,10700994791.0,扩展500只,2025-09-26 11:54:53
000065,北方国际,工程建设,11581681298.0,10539342333.0,扩展500只,2025-09-26 11:54:53
688362,甬矽电子,半导体,15282283207.0,10448526157.0,扩展500只,2025-09-26 11:54:53
300319,麦捷科技,电子元件,11023862109.0,10395557097.0,扩展500只,2025-09-26 11:54:53
301207,华兰疫苗,生物制品,10307621625.0,10301115773.0,扩展500只,2025-09-26 11:54:53
000700,模塑科技,汽车零部件,10217511280.0,10217511280.0,扩展500只,2025-09-26 11:54:53
300678,中科信息,互联网服务,10382411844.0,10203482177.0,扩展500只,2025-09-26 11:54:53
