date,long,short,ls_gross,turnover,cost_bps,ls_net,overlap_long,overlap_short,long_turnover,short_turnover,added_long,removed_long,added_short,removed_short,cum_ls_net,cum_ls_gross,drawdown
2022-11-14,0.016523281031491942,0.016523281031491942,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-15,-0.009429234795214242,-0.009429234795214242,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-16,-0.00048080077519027084,-0.00048080077519027084,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-17,-0.0034858895617936175,-0.0034858895617936175,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-18,-0.007313422997403042,-0.007313422997403042,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-21,0.005368813036494741,0.005368813036494741,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-22,0.00627019381775323,0.00627019381775323,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-23,-0.005743900906581105,-0.005743900906581105,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-24,0.021272026230736107,0.021272026230736107,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-25,-0.011386321128789853,-0.011386321128789853,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-28,0.033680310871977176,0.033680310871977176,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-29,0.0015630980255194474,0.0015630980255194474,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-30,0.0031987840635365463,0.0031987840635365463,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-01,-0.003255448487283976,-0.003255448487283976,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-02,0.03276538390263717,0.03276538390263717,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-05,0.011907451002043018,0.011907451002043018,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,1,0,1,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-06,0.004778449703047244,0.004778449703047244,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-07,-0.002985348319104994,-0.002985348319104994,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-12,-0.008442945174365031,-0.008442945174365031,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-14,-0.006908043470347012,-0.006908043470347012,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-15,0.004105818050322301,0.004105818050322301,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-16,-0.018579962516553673,-0.018579962516553673,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-12-19,-0.014334058900042131,-0.014334058900042131,0.0,0.11764705882352944,0.0005,-5.882352941176472e-05,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.05882352941176472,1,0,1,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2022-12-20,-0.0009805343063509825,-0.0009805343063509825,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2022-12-21,-0.0034273228444858116,-0.0034273228444858116,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2022-12-22,-0.002121319423317388,-0.002121319423317388,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2022-12-23,-0.00022142427609922363,-0.00022142427609922363,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2022-12-26,0.003801889937037653,0.003801889937037653,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-05,-0.003197567795129353,-0.003197567795129353,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-09,-0.002937296865766642,-0.002937296865766642,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-10,-0.0007065689939545596,-0.0007065689939545596,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-11,-0.0005949337292144707,-0.0005949337292144707,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-13,0.013322919881693825,0.013322919881693825,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-16,-0.0015201590768882942,-0.0015201590768882942,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-17,0.0040936549918139005,0.0040936549918139005,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-18,0.00611960899099184,0.00611960899099184,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-19,0.004289851792787953,0.004289851792787953,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-20,-0.0036271206723813352,-0.0036271206723813352,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-30,-0.00414559606076323,-0.00414559606076323,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-01-31,0.011498718523106799,0.011498718523106799,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-07,-0.003719663416941459,-0.003719663416941459,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-09,0.00022058041533215295,0.00022058041533215295,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-10,0.013375372917371665,0.013375372917371665,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-13,0.0007098311672705297,0.0007098311672705297,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-14,-0.0075343224504063645,-0.0075343224504063645,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-15,-0.006376954733357169,-0.006376954733357169,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-20,0.0004372714950733234,0.0004372714950733234,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-21,-0.00614284220616957,-0.00614284220616957,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-22,0.0011227357797854,0.0011227357797854,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-23,-0.009635531714121676,-0.009635531714121676,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-02-24,-0.008032996384674024,-0.008032996384674024,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-01,0.004282451016740131,0.004282451016740131,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-02,0.015817116633529624,0.015817116633529624,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-03,-0.008042262222765018,-0.008042262222765018,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-06,-0.013069648331184167,-0.013069648331184167,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-08,-0.004986865317042406,-0.004986865317042406,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-13,-0.008498736062855953,-0.008498736062855953,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-14,0.011207763112495153,0.011207763112495153,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-15,-0.007708978171577013,-0.007708978171577013,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-16,0.020662740415588254,0.020662740415588254,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-17,0.001330578820206776,0.001330578820206776,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-20,0.0046028419644940175,0.0046028419644940175,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-21,0.006660851038488005,0.006660851038488005,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-22,0.013478848180005413,0.013478848180005413,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-23,-0.010650109726738192,-0.010650109726738192,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-24,-0.0081051876369255,-0.0081051876369255,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-27,0.0006380845332888651,0.0006380845332888651,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
2023-03-28,-0.007274313600913277,-0.007274313600913277,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0011176470588235296,0.0,-0.00011764705882352962
